Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward,Epsilon,Openended,Task
ActorCritic,pro1_bcf_p2,0.05,0.01,0.2,1.0,0.5769230769230769,"[None, None, None]",0.0,0.0,Focused,p2
ActorCritic,pro1_bcf_p2,0.1,0.0001,0.5,1.0,0.28,"[None, None, None]",0.0,0.0,Focused,p2
ActorCritic,pro1_bcf_p2,0.2,0.0001,0.99,1.0,0.1818181818181818,"[None, None, None]",0.0,0.0,Focused,p2
ActorCritic,pro1_bcf_p2,0.3,0.1,0.1,1.0,0.6842105263157895,"[None, None, None]",0.0,0.0,Focused,p2
ActorCritic,pro1_bcf_p2,0.4,0.0001,0.5,1.0,0.7647058823529411,"[None, None, None]",0.0,0.0,Focused,p2
ActorCritic,pro1_bcf_p2,0.5,0.5,0.1,1.0,0.5714285714285714,"[None, None, None]",0.0,0.0,Focused,p2
ActorCritic,pro1_bcf_p2,0.6,0.001,0.9,1.0,0.4545454545454545,"[None, None, None]",0.0,0.0,Focused,p2
ActorCritic,pro1_bcf_p2,0.7,0.0001,0.05,1.0,0.5555555555555556,"[None, None, None]",0.0,0.0,Focused,p2
ActorCritic,pro1_bcf_p2,0.8,0.1,0.5,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Focused,p2
ActorCritic,pro1_bcf_p2,0.9,0.001,0.1,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Focused,p2
ActorCritic,pro26_bde_p2,0.05,0.0001,0.8,1.0,0.6785714285714286,"[None, None, None]",0.0,0.0,Focused,p2
ActorCritic,pro26_bde_p2,0.1,0.0001,0.05,1.0,0.6296296296296297,"[None, None, None]",0.0,0.0,Focused,p2
ActorCritic,pro26_bde_p2,0.2,0.0001,0.5,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Focused,p2
ActorCritic,pro26_bde_p2,0.3,0.0001,0.2,1.0,0.238095238095238,"[None, None, None]",0.0,0.0,Focused,p2
ActorCritic,pro26_bde_p2,0.4,0.1,0.9,1.0,0.7222222222222222,"[None, None, None]",0.0,0.0,Focused,p2
ActorCritic,pro26_bde_p2,0.5,0.1,0.5,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Focused,p2
ActorCritic,pro26_bde_p2,0.6,0.001,0.5,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Focused,p2
ActorCritic,pro26_bde_p2,0.7,0.001,0.05,1.0,0.5555555555555556,"[None, None, None]",0.0,0.0,Focused,p2
ActorCritic,pro26_bde_p2,0.8,0.1,0.05,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p2
ActorCritic,pro26_bde_p2,0.9,0.0001,0.5,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Focused,p2
ActorCritic,pro16_bce_p2,0.05,0.01,0.1,1.0,0.25,"[None, None, None]",0.0,0.0,Focused,p2
ActorCritic,pro16_bce_p2,0.1,0.0001,0.1,1.0,0.7666666666666667,"[None, None, None]",0.0,0.0,Focused,p2
ActorCritic,pro16_bce_p2,0.2,0.01,0.5,1.0,0.1481481481481481,"[None, None, None]",0.0,0.0,Focused,p2
ActorCritic,pro16_bce_p2,0.3,0.0001,0.05,1.0,0.1666666666666666,"[None, None, None]",0.0,0.0,Focused,p2
ActorCritic,pro16_bce_p2,0.4,0.001,0.05,1.0,0.8,"[None, None, None]",0.0,0.0,Focused,p2
ActorCritic,pro16_bce_p2,0.5,0.1,0.8,1.0,0.8235294117647058,"[None, None, None]",0.0,0.0,Focused,p2
ActorCritic,pro16_bce_p2,0.6,0.0001,0.2,1.0,0.8571428571428571,"[None, None, None]",0.0,0.0,Focused,p2
ActorCritic,pro16_bce_p2,0.7,0.0001,0.05,1.0,0.9,"[None, None, None]",0.0,0.0,Focused,p2
