User_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State
0,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1607028444835,0.8777777777777778,modify-1,"['None', 'None', 'Title']","[0, 16, 16]",Foraging
4,clicked on a field,add Creative_Type,1607028445983,1.1,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Foraging
5,main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1607028446024,1.1,modify-1,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Foraging
6,clicked on a field,add Source,1607028453002,1.0722222222222222,modify-1,"['None', 'None', 'Source']","[9, 16, 16]",Foraging
7,main chart changed because of clicking a field,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1607028453025,2.0722222222222224,modify-1,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Foraging
8,clicked on a field,remove Source,1607028457572,1.0722222222222222,modify-1,"['None', 'None', 'Source']","[9, 16, 16]",Foraging
9,main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1607028457601,1.1,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Foraging
10,mouseover on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1607028466088,1.1,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Sensemaking
13,mouseout on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1607028469170,1.1,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Sensemaking
14,mouseover on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1607028473269,1.1,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Sensemaking
17,mouseout on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1607028476820,1.1,modify-1,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Sensemaking
20,clicked on a field,add Source,1607028479662,1.0722222222222222,modify-1,"['None', 'None', 'Source']","[9, 16, 16]",Foraging
21,main chart changed because of clicking a field,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1607028479731,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Foraging
22,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1607028480443,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking
