Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward,Epsilon,Openended,Task
ActorCritic,pro24_adf_p3,0.8,0.001,0.05,1.0,0.75,"[None, None, None]",0.0,0.0,Openended,p3
ActorCritic,pro15_ade_p3,0.8,0.1,0.05,1.0,0.2727272727272727,"[None, None, None]",0.0,0.0,Openended,p3
ActorCritic,pro18_adf_p3,0.8,0.0001,0.05,1.0,0.6,"[None, None, None]",0.0,0.0,Openended,p3
ActorCritic,pro25_acf_p3,0.8,0.1,0.8,1.0,0.3846153846153846,"[None, None, None]",0.0,0.0,Openended,p3
ActorCritic,pro13_ace_p3,0.8,0.1,0.8,1.0,0.6153846153846154,"[None, None, None]",0.0,0.0,Openended,p3
ActorCritic,pro17_ace_p3,0.8,0.1,0.8,1.0,0.7857142857142857,"[None, None, None]",0.0,0.0,Openended,p3
ActorCritic,pro23_acf_p3,0.8,0.001,0.05,1.0,0.9210526315789472,"[None, None, None]",0.0,0.0,Openended,p3
ActorCritic,pro3_ace_p3,0.8,0.001,0.8,1.0,0.3571428571428571,"[None, None, None]",0.0,0.0,Openended,p3
ActorCritic,pro22_ade_p3,0.8,0.001,0.05,1.0,0.9,"[None, None, None]",0.0,0.0,Openended,p3
ActorCritic,pro31_adf_p3,0.8,0.001,0.1,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Openended,p3
ActorCritic,pro5_adf_p3,0.8,0.1,0.9,1.0,0.4736842105263157,"[None, None, None]",0.0,0.0,Openended,p3
ActorCritic,pro8_acf_p3,0.8,0.0001,0.9,1.0,0.5652173913043478,"[None, None, None]",0.0,0.0,Openended,p3
ActorCritic,pro29_ace_p3,0.8,0.1,0.05,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Openended,p3
ActorCritic,pro21_ade_p3,0.8,0.1,0.99,1.0,0.2641509433962264,"[None, None, None]",0.0,0.0,Openended,p3
ActorCritic,stu17_ace_p3,0.8,0.001,0.2,1.0,0.7333333333333333,"[None, None, None]",0.0,0.0,Openended,p3
ActorCritic,pro20_ade_p3,0.8,0.001,0.1,1.0,0.7192982456140351,"[None, None, None]",0.0,0.0,Openended,p3
ActorCritic,pro9_acf_p3,0.8,0.001,0.05,1.0,0.5526315789473685,"[None, None, None]",0.0,0.0,Openended,p3
ActorCritic,stu13_acf_p3,0.8,0.001,0.2,1.0,0.7666666666666667,"[None, None, None]",0.0,0.0,Openended,p3
ActorCritic,stu25_ace_p3,0.8,0.5,0.5,1.0,0.3888888888888889,"[None, None, None]",0.0,0.0,Openended,p3
ActorCritic,stu10_acf_p3,0.8,0.0001,0.5,1.0,0.7714285714285715,"[None, None, None]",0.0,0.0,Openended,p3
ActorCritic,stu11_adf_p3,0.8,0.1,0.8,1.0,0.5517241379310345,"[None, None, None]",0.0,0.0,Openended,p3
