User_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State
0,mouseover a related chart,mark:tick;encoding:US_Gross-quantitative-x,1604515579759,2.85,modify-1,"['None', 'None', 'US_Gross']","[1, 16, 16]",Foraging
2,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1604515588678,0.9333333333333332,modify-1,"['None', 'None', 'Title']","[0, 16, 16]",Foraging
4,clicked on a field,add Worldwide_Gross,1604515591026,3.1,same,"['None', 'None', 'Worldwide_Gross']","[2, 16, 16]",Foraging
5,main chart changed because of clicking a field,mark:tick;encoding:Worldwide_Gross-quantitative-x,1604515591150,3.1,modify-1,"['None', 'None', 'Worldwide_Gross']","[2, 16, 16]",Foraging
6,clicked on a field,add Creative_Type,1604515605892,0.9888888888888888,modify-1,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Foraging
7,main chart changed because of clicking a field,"mark:tick;encoding:Creative_Type-nominal-y,Worldwide_Gross-quantitative-x",1604515606034,3.988888888888889,modify-2,"['Creative_Type', 'None', 'Worldwide_Gross']","[2, 11, 16]",Foraging
8,clicked on a field,add Director,1604515620509,0.9611111111111112,modify-2,"['Director', 'None', 'None']","[12, 16, 16]",Foraging
9,main chart changed because of clicking a field,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,Worldwide_Gross-quantitative-size",1604515620634,4.85,modify-2,"['Creative_Type', 'Director', 'Worldwide_Gross']","[2, 11, 12]",Foraging
10,clicked on a field,remove Director,1604515625586,0.9611111111111112,modify-2,"['Director', 'None', 'None']","[12, 16, 16]",Foraging
11,main chart changed because of clicking a field,"mark:tick;encoding:Creative_Type-nominal-y,Worldwide_Gross-quantitative-x",1604515625633,3.988888888888889,modify-2,"['Creative_Type', 'None', 'Worldwide_Gross']","[2, 11, 16]",Foraging
12,clicked on a field,add Distributor,1604515626636,0.9611111111111112,modify-2,"['Distributor', 'None', 'None']","[8, 16, 16]",Foraging
13,main chart changed because of clicking a field,"mark:tick;encoding:Creative_Type-nominal-color,Distributor-nominal-y,Worldwide_Gross-quantitative-x",1604515626678,4.85,modify-2,"['Creative_Type', 'Distributor', 'Worldwide_Gross']","[2, 8, 11]",Foraging
14,clicked on a field,remove Distributor,1604515635667,0.9611111111111112,modify-2,"['Distributor', 'None', 'None']","[8, 16, 16]",Foraging
15,main chart changed because of clicking a field,"mark:tick;encoding:Creative_Type-nominal-y,Worldwide_Gross-quantitative-x",1604515635711,3.988888888888889,modify-2,"['Creative_Type', 'None', 'Worldwide_Gross']","[2, 11, 16]",Foraging
16,clicked on a field,add Distributor,1604515638113,0.9611111111111112,modify-2,"['Distributor', 'None', 'None']","[8, 16, 16]",Foraging
17,main chart changed because of clicking a field,"mark:tick;encoding:Creative_Type-nominal-color,Distributor-nominal-y,Worldwide_Gross-quantitative-x",1604515638215,4.85,same,"['Creative_Type', 'Distributor', 'Worldwide_Gross']","[2, 8, 11]",Foraging
18,mouseover on the specified chart,"mark:tick;encoding:Creative_Type-nominal-color,Distributor-nominal-y,Worldwide_Gross-quantitative-x",1604515641771,4.85,same,"['Creative_Type', 'Distributor', 'Worldwide_Gross']","[2, 8, 11]",Sensemaking
19,mouseout on the specified chart,"mark:tick;encoding:Creative_Type-nominal-color,Distributor-nominal-y,Worldwide_Gross-quantitative-x",1604515646849,4.85,modify-2,"['Creative_Type', 'Distributor', 'Worldwide_Gross']","[2, 8, 11]",Sensemaking
22,clicked on a field,remove Distributor,1604515647615,0.9611111111111112,modify-2,"['Distributor', 'None', 'None']","[8, 16, 16]",Foraging
23,main chart changed because of clicking a field,"mark:tick;encoding:Creative_Type-nominal-y,Worldwide_Gross-quantitative-x",1604515647663,3.988888888888889,modify-2,"['Creative_Type', 'None', 'Worldwide_Gross']","[2, 11, 16]",Foraging
24,clicked on a field,add Major_Genre,1604515648410,2.988888888888889,modify-2,"['Major_Genre', 'None', 'None']","[10, 16, 16]",Foraging
25,main chart changed because of clicking a field,"mark:bar;encoding:Creative_Type-nominal-color,Major_Genre-nominal-y,Worldwide_Gross-quantitative-x",1604515648459,6.877777777777778,modify-2,"['Creative_Type', 'Major_Genre', 'Worldwide_Gross']","[2, 10, 11]",Foraging
26,clicked on a field,remove Creative_Type,1604515658386,0.9888888888888888,modify-2,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Foraging
27,main chart changed because of clicking a field,"mark:tick;encoding:Major_Genre-nominal-y,Worldwide_Gross-quantitative-x",1604515658435,5.988888888888889,same,"['Major_Genre', 'None', 'Worldwide_Gross']","[2, 10, 16]",Foraging
28,mouseover on the specified chart,"mark:tick;encoding:Major_Genre-nominal-y,Worldwide_Gross-quantitative-x",1604515659790,5.988888888888889,same,"['Major_Genre', 'None', 'Worldwide_Gross']","[2, 10, 16]",Sensemaking
33,mouseout on the specified chart,"mark:tick;encoding:Major_Genre-nominal-y,Worldwide_Gross-quantitative-x",1604515673224,5.988888888888889,same,"['Major_Genre', 'None', 'Worldwide_Gross']","[2, 10, 16]",Sensemaking
36,mouseover on the specified chart,"mark:tick;encoding:Major_Genre-nominal-y,Worldwide_Gross-quantitative-x",1604515674433,5.988888888888889,same,"['Major_Genre', 'None', 'Worldwide_Gross']","[2, 10, 16]",Sensemaking
39,mouseout on the specified chart,"mark:tick;encoding:Major_Genre-nominal-y,Worldwide_Gross-quantitative-x",1604515679656,5.988888888888889,same,"['Major_Genre', 'None', 'Worldwide_Gross']","[2, 10, 16]",Sensemaking
42,main chart changed because of clicking a field,"mark:tick;encoding:Major_Genre-nominal-y,Worldwide_Gross-quantitative-x",1604515681155,5.988888888888889,modify-2,"['Major_Genre', 'None', 'Worldwide_Gross']","[2, 10, 16]",Foraging
43,clicked on a field,add US_DVD_Sales,1604515681492,1.6833333333333336,modify-2,"['None', 'None', 'US_DVD_Sales']","[3, 16, 16]",Foraging
44,main chart changed because of clicking a field,"mark:point;encoding:Major_Genre-nominal-x,US_DVD_Sales-quantitative-y<bin>,Worldwide_Gross-quantitative-size<aggregate>mean",1604515681535,7.572222222222223,same,"['Major_Genre', 'US_DVD_Sales', 'Worldwide_Gross']","[2, 3, 10]",Foraging
45,mouseover on the specified chart,"mark:point;encoding:Major_Genre-nominal-x,US_DVD_Sales-quantitative-y<bin>,Worldwide_Gross-quantitative-size<aggregate>mean",1604515685093,7.572222222222223,same,"['Major_Genre', 'US_DVD_Sales', 'Worldwide_Gross']","[2, 3, 10]",Sensemaking
46,mouseout on the specified chart,"mark:point;encoding:Major_Genre-nominal-x,US_DVD_Sales-quantitative-y<bin>,Worldwide_Gross-quantitative-size<aggregate>mean",1604515696600,7.572222222222223,same,"['Major_Genre', 'US_DVD_Sales', 'Worldwide_Gross']","[2, 3, 10]",Sensemaking
49,added chart to bookmark,"mark:point;encoding:Major_Genre-nominal-x,US_DVD_Sales-quantitative-y<bin>,Worldwide_Gross-quantitative-size<aggregate>mean",1604515726203,7.572222222222223,same,"['Major_Genre', 'US_DVD_Sales', 'Worldwide_Gross']","[2, 3, 10]",Sensemaking
50,mouseover on the specified chart,"mark:point;encoding:Major_Genre-nominal-x,US_DVD_Sales-quantitative-y<bin>,Worldwide_Gross-quantitative-size<aggregate>mean",1604515726896,7.572222222222223,modify-1,"['Major_Genre', 'US_DVD_Sales', 'Worldwide_Gross']","[2, 3, 10]",Sensemaking
52,mouseover a related chart,"mark:point;encoding:-quantitative-size<aggregate>count,Major_Genre-nominal-x,US_DVD_Sales-quantitative-y<bin>",1604515727728,4.572222222222223,same,"['Major_Genre', 'None', 'US_DVD_Sales']","[3, 10, 16]",Foraging
54,mouseover a related chart,"mark:point;encoding:-quantitative-size<aggregate>count,Major_Genre-nominal-x,US_DVD_Sales-quantitative-y<bin>",1604515739127,4.572222222222223,modify-1,"['Major_Genre', 'None', 'US_DVD_Sales']","[3, 10, 16]",Foraging
60,clicked on a field,remove US_DVD_Sales,1604515742185,1.6833333333333336,modify-2,"['None', 'None', 'US_DVD_Sales']","[3, 16, 16]",Foraging
61,main chart changed because of clicking a field,"mark:tick;encoding:Major_Genre-nominal-y,Worldwide_Gross-quantitative-x",1604515742318,5.988888888888889,modify-1,"['Major_Genre', 'None', 'Worldwide_Gross']","[2, 10, 16]",Foraging
62,clicked on a field,remove Worldwide_Gross,1604515743558,3.1,modify-1,"['None', 'None', 'Worldwide_Gross']","[2, 16, 16]",Foraging
63,main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y",1604515743609,2.988888888888889,same,"['Major_Genre', 'None', 'None']","[10, 16, 16]",Foraging
64,mouseover on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y",1604515744459,2.988888888888889,modify-1,"['Major_Genre', 'None', 'None']","[10, 16, 16]",Sensemaking
68,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-color,Major_Genre-nominal-y",1604515745805,3.8777777777777778,same,"['Creative_Type', 'Major_Genre', 'None']","[10, 11, 16]",Foraging
69,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-color,Major_Genre-nominal-y",1604515746559,3.8777777777777778,same,"['Creative_Type', 'Major_Genre', 'None']","[10, 11, 16]",Foraging
71,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-color,Major_Genre-nominal-y",1604515749368,3.8777777777777778,same,"['Creative_Type', 'Major_Genre', 'None']","[10, 11, 16]",Foraging
74,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-color,Major_Genre-nominal-y",1604515749852,3.8777777777777778,modify-1,"['Creative_Type', 'Major_Genre', 'None']","[10, 11, 16]",Foraging
77,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Release_Date-nominal-row",1604515775784,4.766666666666667,same,"['Major_Genre', 'None', 'Release_Date']","[5, 10, 16]",Foraging
78,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Release_Date-nominal-row",1604515776134,4.766666666666667,same,"['Major_Genre', 'None', 'Release_Date']","[5, 10, 16]",Foraging
80,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Release_Date-nominal-row",1604515776723,4.766666666666667,same,"['Major_Genre', 'None', 'Release_Date']","[5, 10, 16]",Foraging
81,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Release_Date-nominal-row",1604515779147,4.766666666666667,same,"['Major_Genre', 'None', 'Release_Date']","[5, 10, 16]",Foraging
84,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Release_Date-nominal-row",1604515779820,4.766666666666667,same,"['Major_Genre', 'None', 'Release_Date']","[5, 10, 16]",Foraging
87,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Release_Date-nominal-row",1604515780588,4.766666666666667,modify-1,"['Major_Genre', 'None', 'Release_Date']","[5, 10, 16]",Foraging
88,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Production_Budget-quantitative-color<aggregate>mean",1604515784049,5.627777777777778,same,"['Major_Genre', 'None', 'Production_Budget']","[4, 10, 16]",Foraging
91,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Production_Budget-quantitative-color<aggregate>mean",1604515785966,5.627777777777778,same,"['Major_Genre', 'None', 'Production_Budget']","[4, 10, 16]",Foraging
92,added chart to bookmark,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Production_Budget-quantitative-color<aggregate>mean",1604515820533,5.627777777777778,modify-1,"['Major_Genre', 'None', 'Production_Budget']","[4, 10, 16]",Sensemaking
93,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Source-nominal-color",1604515821928,3.8222222222222224,same,"['Major_Genre', 'None', 'Source']","[9, 10, 16]",Foraging
96,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y,Source-nominal-color",1604515822753,3.8222222222222224,modify-2,"['Major_Genre', 'None', 'Source']","[9, 10, 16]",Foraging
101,clicked on a field,add Rotten_Tomatoes_Rating,1604515825619,0.7944444444444444,modify-1,"['None', 'None', 'Rotten_Tomatoes_Rating']","[13, 16, 16]",Foraging
102,main chart changed because of clicking a field,"mark:tick;encoding:Major_Genre-nominal-y,Rotten_Tomatoes_Rating-quantitative-x",1604515825758,3.6833333333333336,modify-1,"['Major_Genre', 'None', 'Rotten_Tomatoes_Rating']","[10, 13, 16]",Foraging
103,clicked on a field,remove Major_Genre,1604515835205,2.988888888888889,modify-1,"['Major_Genre', 'None', 'None']","[10, 16, 16]",Foraging
104,main chart changed because of clicking a field,mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,1604515835255,0.7944444444444444,modify-1,"['None', 'None', 'Rotten_Tomatoes_Rating']","[13, 16, 16]",Foraging
105,clicked on a field,add Worldwide_Gross,1604515839682,3.1,modify-1,"['None', 'None', 'Worldwide_Gross']","[2, 16, 16]",Foraging
106,main chart changed because of clicking a field,"mark:point;encoding:Rotten_Tomatoes_Rating-quantitative-x,Worldwide_Gross-quantitative-y",1604515839747,3.794444444444444,same,"['None', 'Rotten_Tomatoes_Rating', 'Worldwide_Gross']","[2, 13, 16]",Foraging
107,mouseover on the specified chart,"mark:point;encoding:Rotten_Tomatoes_Rating-quantitative-x,Worldwide_Gross-quantitative-y",1604515841185,3.794444444444444,same,"['None', 'Rotten_Tomatoes_Rating', 'Worldwide_Gross']","[2, 13, 16]",Sensemaking
108,mouseout on the specified chart,"mark:point;encoding:Rotten_Tomatoes_Rating-quantitative-x,Worldwide_Gross-quantitative-y",1604515850315,3.794444444444444,modify-1,"['None', 'Rotten_Tomatoes_Rating', 'Worldwide_Gross']","[2, 13, 16]",Sensemaking
117,clicked on a field,remove Worldwide_Gross,1604515853153,3.1,modify-1,"['None', 'None', 'Worldwide_Gross']","[2, 16, 16]",Foraging
118,main chart changed because of clicking a field,mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,1604515853286,0.7944444444444444,modify-1,"['None', 'None', 'Rotten_Tomatoes_Rating']","[13, 16, 16]",Foraging
119,clicked on a field,add US_Gross,1604515854170,2.85,modify-1,"['None', 'None', 'US_Gross']","[1, 16, 16]",Foraging
120,main chart changed because of clicking a field,"mark:point;encoding:Rotten_Tomatoes_Rating-quantitative-x,US_Gross-quantitative-y",1604515854218,3.5444444444444443,same,"['None', 'Rotten_Tomatoes_Rating', 'US_Gross']","[1, 13, 16]",Foraging
121,mouseover on the specified chart,"mark:point;encoding:Rotten_Tomatoes_Rating-quantitative-x,US_Gross-quantitative-y",1604515857271,3.5444444444444443,modify-1,"['None', 'Rotten_Tomatoes_Rating', 'US_Gross']","[1, 13, 16]",Sensemaking
123,clicked on a field,remove Rotten_Tomatoes_Rating,1604515861873,0.7944444444444444,modify-1,"['None', 'None', 'Rotten_Tomatoes_Rating']","[13, 16, 16]",Foraging
124,main chart changed because of clicking a field,mark:tick;encoding:US_Gross-quantitative-x,1604515861929,2.85,modify-1,"['None', 'None', 'US_Gross']","[1, 16, 16]",Foraging
125,clicked on a field,add Production_Budget,1604515862658,2.738888888888889,modify-1,"['None', 'None', 'Production_Budget']","[4, 16, 16]",Foraging
126,main chart changed because of clicking a field,"mark:point;encoding:Production_Budget-quantitative-x,US_Gross-quantitative-y",1604515862702,5.488888888888889,modify-1,"['None', 'Production_Budget', 'US_Gross']","[1, 4, 16]",Foraging
127,clicked on a field,remove Production_Budget,1604515865115,2.738888888888889,modify-1,"['None', 'None', 'Production_Budget']","[4, 16, 16]",Foraging
128,main chart changed because of clicking a field,mark:tick;encoding:US_Gross-quantitative-x,1604515865159,2.85,modify-1,"['None', 'None', 'US_Gross']","[1, 16, 16]",Foraging
129,clicked on a field,add IMDB_Votes,1604515866088,0.6277777777777778,modify-1,"['IMDB_Votes', 'None', 'None']","[15, 16, 16]",Foraging
130,main chart changed because of clicking a field,"mark:point;encoding:IMDB_Votes-quantitative-x,US_Gross-quantitative-y",1604515866136,3.3777777777777778,modify-1,"['IMDB_Votes', 'None', 'US_Gross']","[1, 15, 16]",Foraging
131,clicked on a field,remove IMDB_Votes,1604515868461,0.6277777777777778,modify-1,"['IMDB_Votes', 'None', 'None']","[15, 16, 16]",Foraging
132,main chart changed because of clicking a field,mark:tick;encoding:US_Gross-quantitative-x,1604515868517,2.85,modify-1,"['None', 'None', 'US_Gross']","[1, 16, 16]",Foraging
133,clicked on a field,add IMDB_Rating,1604515869195,2.9611111111111112,modify-1,"['IMDB_Rating', 'None', 'None']","[14, 16, 16]",Foraging
134,main chart changed because of clicking a field,"mark:point;encoding:IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515869239,5.711111111111111,same,"['IMDB_Rating', 'None', 'US_Gross']","[1, 14, 16]",Foraging
135,mouseover on the specified chart,"mark:point;encoding:IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515870533,5.711111111111111,same,"['IMDB_Rating', 'None', 'US_Gross']","[1, 14, 16]",Sensemaking
137,mouseover on the specified chart,"mark:point;encoding:IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515872089,5.711111111111111,same,"['IMDB_Rating', 'None', 'US_Gross']","[1, 14, 16]",Sensemaking
139,added chart to bookmark,"mark:point;encoding:IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515872495,5.711111111111111,same,"['IMDB_Rating', 'None', 'US_Gross']","[1, 14, 16]",Sensemaking
140,mouseover on the specified chart,"mark:point;encoding:IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515873435,5.711111111111111,same,"['IMDB_Rating', 'None', 'US_Gross']","[1, 14, 16]",Sensemaking
145,mouseout on the specified chart,"mark:point;encoding:IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515874048,5.711111111111111,modify-2,"['IMDB_Rating', 'None', 'US_Gross']","[1, 14, 16]",Sensemaking
146,clicked on a field,add Source,1604515877895,0.9333333333333332,modify-2,"['None', 'None', 'Source']","[9, 16, 16]",Foraging
147,main chart changed because of clicking a field,"mark:point;encoding:IMDB_Rating-quantitative-size<aggregate>mean,Source-nominal-x,US_Gross-quantitative-y<bin>",1604515877952,6.544444444444444,modify-2,"['IMDB_Rating', 'Source', 'US_Gross']","[1, 9, 14]",Foraging
148,clicked on a field,remove Source,1604515879462,0.9333333333333332,modify-2,"['None', 'None', 'Source']","[9, 16, 16]",Foraging
149,main chart changed because of clicking a field,"mark:point;encoding:IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515879519,5.711111111111111,modify-2,"['IMDB_Rating', 'None', 'US_Gross']","[1, 14, 16]",Foraging
150,clicked on a field,add Distributor,1604515882357,0.9611111111111112,modify-2,"['Distributor', 'None', 'None']","[8, 16, 16]",Foraging
151,main chart changed because of clicking a field,"mark:point;encoding:Distributor-nominal-y,IMDB_Rating-quantitative-x<bin>,US_Gross-quantitative-size<aggregate>mean",1604515882415,6.572222222222223,modify-2,"['Distributor', 'IMDB_Rating', 'US_Gross']","[1, 8, 14]",Foraging
152,clicked on a field,remove Distributor,1604515886937,0.9611111111111112,modify-2,"['Distributor', 'None', 'None']","[8, 16, 16]",Foraging
153,main chart changed because of clicking a field,"mark:point;encoding:IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515886994,5.711111111111111,modify-2,"['IMDB_Rating', 'None', 'US_Gross']","[1, 14, 16]",Foraging
154,clicked on a field,add Major_Genre,1604515889271,2.988888888888889,modify-2,"['Major_Genre', 'None', 'None']","[10, 16, 16]",Foraging
155,main chart changed because of clicking a field,"mark:point;encoding:IMDB_Rating-quantitative-size<aggregate>mean,Major_Genre-nominal-x,US_Gross-quantitative-y<bin>",1604515889313,8.6,modify-2,"['IMDB_Rating', 'Major_Genre', 'US_Gross']","[1, 10, 14]",Foraging
156,clicked on a field,remove Major_Genre,1604515893134,2.988888888888889,modify-2,"['Major_Genre', 'None', 'None']","[10, 16, 16]",Foraging
157,main chart changed because of clicking a field,"mark:point;encoding:IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515893192,5.711111111111111,same,"['IMDB_Rating', 'None', 'US_Gross']","[1, 14, 16]",Foraging
158,mouseover on the specified chart,"mark:point;encoding:IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515893788,5.711111111111111,same,"['IMDB_Rating', 'None', 'US_Gross']","[1, 14, 16]",Sensemaking
160,mouseover on the specified chart,"mark:point;encoding:IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515911961,5.711111111111111,modify-1,"['IMDB_Rating', 'None', 'US_Gross']","[1, 14, 16]",Sensemaking
162,mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-color,IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515916163,6.6,same,"['Creative_Type', 'IMDB_Rating', 'US_Gross']","[1, 11, 14]",Foraging
164,mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-color,IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515916807,6.6,same,"['Creative_Type', 'IMDB_Rating', 'US_Gross']","[1, 11, 14]",Foraging
165,mouseout a related chart,"mark:point;encoding:Creative_Type-nominal-color,IMDB_Rating-quantitative-x,US_Gross-quantitative-y",1604515921744,6.6,modify-1,"['Creative_Type', 'IMDB_Rating', 'US_Gross']","[1, 11, 14]",Foraging
168,mouseover a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,Release_Date-nominal-row,US_Gross-quantitative-y",1604515923138,7.488888888888889,same,"['IMDB_Rating', 'Release_Date', 'US_Gross']","[1, 5, 14]",Foraging
169,mouseout a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,Release_Date-nominal-row,US_Gross-quantitative-y",1604515923788,7.488888888888889,modify-1,"['IMDB_Rating', 'Release_Date', 'US_Gross']","[1, 5, 14]",Foraging
177,mouseout a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,IMDB_Votes-quantitative-size,US_Gross-quantitative-y",1604515928548,6.238888888888889,modify-1,"['IMDB_Rating', 'IMDB_Votes', 'US_Gross']","[1, 14, 15]",Foraging
180,mouseover a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,Production_Budget-quantitative-size,US_Gross-quantitative-y",1604515929498,8.35,same,"['IMDB_Rating', 'Production_Budget', 'US_Gross']","[1, 4, 14]",Foraging
183,mouseout a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,Production_Budget-quantitative-size,US_Gross-quantitative-y",1604515930346,8.35,same,"['IMDB_Rating', 'Production_Budget', 'US_Gross']","[1, 4, 14]",Foraging
186,added chart to bookmark,"mark:point;encoding:IMDB_Rating-quantitative-x,Production_Budget-quantitative-size,US_Gross-quantitative-y",1604515931115,8.35,same,"['IMDB_Rating', 'Production_Budget', 'US_Gross']","[1, 4, 14]",Sensemaking
187,mouseover a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,Production_Budget-quantitative-size,US_Gross-quantitative-y",1604515931514,8.35,same,"['IMDB_Rating', 'Production_Budget', 'US_Gross']","[1, 4, 14]",Foraging
188,mouseout a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,Production_Budget-quantitative-size,US_Gross-quantitative-y",1604515932753,8.35,modify-3,"['IMDB_Rating', 'Production_Budget', 'US_Gross']","[1, 4, 14]",Foraging
193,clicked on a field,add Major_Genre,1604515934913,2.988888888888889,modify-2,"['Major_Genre', 'None', 'None']","[10, 16, 16]",Foraging
194,main chart changed because of clicking a field,"mark:point;encoding:IMDB_Rating-quantitative-size<aggregate>mean,Major_Genre-nominal-x,US_Gross-quantitative-y<bin>",1604515935130,8.6,modify-2,"['IMDB_Rating', 'Major_Genre', 'US_Gross']","[1, 10, 14]",Foraging
195,clicked on a field,remove IMDB_Rating,1604515936053,2.9611111111111112,modify-2,"['IMDB_Rating', 'None', 'None']","[14, 16, 16]",Foraging
196,main chart changed because of clicking a field,"mark:tick;encoding:Major_Genre-nominal-y,US_Gross-quantitative-x",1604515936114,5.738888888888889,modify-2,"['Major_Genre', 'None', 'US_Gross']","[1, 10, 16]",Foraging
197,clicked on a field,add IMDB_Rating,1604515937005,2.9611111111111112,modify-2,"['IMDB_Rating', 'None', 'None']","[14, 16, 16]",Foraging
198,main chart changed because of clicking a field,"mark:point;encoding:IMDB_Rating-quantitative-size<aggregate>mean,Major_Genre-nominal-x,US_Gross-quantitative-y<bin>",1604515937058,8.6,modify-2,"['IMDB_Rating', 'Major_Genre', 'US_Gross']","[1, 10, 14]",Foraging
199,clicked on a field,remove US_Gross,1604515938520,2.85,modify-2,"['None', 'None', 'US_Gross']","[1, 16, 16]",Foraging
200,main chart changed because of clicking a field,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1604515938613,5.85,same,"['IMDB_Rating', 'Major_Genre', 'None']","[10, 14, 16]",Foraging
201,mouseover on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1604515939252,5.85,same,"['IMDB_Rating', 'Major_Genre', 'None']","[10, 14, 16]",Sensemaking
204,mouseout on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1604515939968,5.85,same,"['IMDB_Rating', 'Major_Genre', 'None']","[10, 14, 16]",Sensemaking
209,mouseover on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1604515942463,5.85,same,"['IMDB_Rating', 'Major_Genre', 'None']","[10, 14, 16]",Sensemaking
210,mouseout on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1604515944732,5.85,same,"['IMDB_Rating', 'Major_Genre', 'None']","[10, 14, 16]",Sensemaking
213,mouseover on the specified chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Major_Genre-nominal-y",1604515946509,5.85,modify-1,"['IMDB_Rating', 'Major_Genre', 'None']","[10, 14, 16]",Sensemaking
223,clicked on a field,remove Major_Genre,1604515951963,2.988888888888889,modify-1,"['Major_Genre', 'None', 'None']","[10, 16, 16]",Foraging
