Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward,Epsilon,Openended,Task
ActorCritic,pro18_adf_p4,0.05,0.0001,0.9,1.0,0.6027397260273972,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro18_adf_p4,0.1,0.0001,0.5,1.0,0.3768115942028985,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro18_adf_p4,0.2,0.0001,0.8,1.0,0.6229508196721312,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro18_adf_p4,0.3,0.1,0.5,1.0,0.6481481481481481,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro18_adf_p4,0.4,0.001,0.1,1.0,0.782608695652174,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro18_adf_p4,0.5,0.0001,0.1,1.0,0.2105263157894736,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro18_adf_p4,0.6,0.0001,0.9,1.0,0.7419354838709677,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro18_adf_p4,0.7,0.1,0.2,1.0,0.6956521739130435,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro18_adf_p4,0.8,0.0001,0.2,1.0,0.8125,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro18_adf_p4,0.9,0.0001,0.1,1.0,0.625,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro24_adf_p4,0.05,0.0001,0.05,1.0,0.219047619047619,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro24_adf_p4,0.1,0.0001,0.8,1.0,0.5757575757575758,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro24_adf_p4,0.2,0.0001,0.99,1.0,0.5795454545454546,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro24_adf_p4,0.3,0.0001,0.9,1.0,0.5324675324675324,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro24_adf_p4,0.4,0.001,0.2,1.0,0.5151515151515151,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro24_adf_p4,0.5,1.0,0.2,1.0,0.4727272727272727,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro24_adf_p4,0.6,0.001,0.9,1.0,0.5454545454545454,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro24_adf_p4,0.7,0.0001,0.1,1.0,0.5454545454545454,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro24_adf_p4,0.8,0.001,0.05,1.0,0.7272727272727273,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro24_adf_p4,0.9,0.0001,0.1,1.0,0.6363636363636364,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro23_acf_p4,0.05,0.1,0.99,1.0,0.6095238095238096,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro23_acf_p4,0.1,0.001,0.5,1.0,0.6161616161616161,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro23_acf_p4,0.2,0.0001,0.05,1.0,0.6590909090909091,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro23_acf_p4,0.3,0.01,0.05,1.0,0.2077922077922078,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro23_acf_p4,0.4,0.001,0.5,1.0,0.7424242424242424,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro23_acf_p4,0.5,0.5,0.99,1.0,0.6909090909090909,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro23_acf_p4,0.6,0.001,0.9,1.0,0.75,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro23_acf_p4,0.7,0.1,0.1,1.0,0.7878787878787878,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro23_acf_p4,0.8,0.001,0.2,1.0,0.9090909090909092,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro23_acf_p4,0.9,0.0001,0.5,1.0,0.9090909090909092,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro13_ace_p4,0.05,0.0001,0.99,1.0,0.5092592592592593,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro13_ace_p4,0.1,0.001,0.05,1.0,0.6078431372549019,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro13_ace_p4,0.2,0.001,0.99,1.0,0.6043956043956044,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro13_ace_p4,0.3,0.5,0.05,1.0,0.6125,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro13_ace_p4,0.4,0.0001,0.5,1.0,0.6764705882352942,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro13_ace_p4,0.5,0.001,0.5,1.0,0.6842105263157895,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro13_ace_p4,0.6,0.1,0.1,1.0,0.7608695652173914,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro13_ace_p4,0.7,0.001,0.5,1.0,0.6470588235294118,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro13_ace_p4,0.8,0.0001,0.5,1.0,0.5217391304347826,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro13_ace_p4,0.9,0.0001,0.9,1.0,0.6666666666666666,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro15_ade_p4,0.05,0.5,0.5,1.0,0.4403669724770642,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro15_ade_p4,0.1,0.0001,0.2,1.0,0.5533980582524272,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro15_ade_p4,0.2,0.001,0.5,1.0,0.5543478260869565,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro15_ade_p4,0.3,0.001,0.05,1.0,0.55,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro15_ade_p4,0.4,0.001,0.99,1.0,0.5217391304347826,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro15_ade_p4,0.5,0.1,0.5,1.0,0.631578947368421,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro15_ade_p4,0.6,0.01,0.1,1.0,0.5652173913043478,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro15_ade_p4,0.7,0.0001,0.99,1.0,0.6285714285714286,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro15_ade_p4,0.8,0.01,0.5,1.0,0.6086956521739131,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro15_ade_p4,0.9,0.5,0.1,1.0,0.5,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro22_ade_p4,0.05,0.0001,0.5,1.0,0.7,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro22_ade_p4,0.1,0.0001,0.5,1.0,0.6991869918699187,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro22_ade_p4,0.2,0.1,0.9,1.0,0.7247706422018348,"[None, None, None]",0.0,0.0,Openended,p4
ActorCritic,pro22_ade_p4,0.3,0.001,0.05,1.0,0.71875,"[None, None, None]",0.0,0.0,Openended,p4
